Code,Delta_Code,Evo_ID,Evo_ID_2,Timepoint,Condition,condition_short,evo_trt,Importer,Delta mM glucose,Delta mM fructose,Delta mM lactate,Delta mM acetate,Delta OD x1000,Delta OD,Delta cell/mL count,growth rate,Extracellular flux glu (mM / (cell/mL) * (1/hr)),Extracellular flux fru (mM / (cell/mL) * (1/hr)),Extracellular flux lact (mM / (cell/mL) * (1/hr)),Extracellular flux ace (mM / (cell/mL) * (1/hr)),Extracellular flux glu (fmol/cell * hr^-1),Extracellular flux fru (fmol/cell * hr^-1),Extracellular flux lact (fmol/cell * hr^-1),Extracellular flux ace (fmol/cell * hr^-1),flux.glu,flux.fru,flux.lact,flux.ace,flux.glu.0,flux.fru.0,anc.value.lact.0,anc.value.ace.0,anc.value.glu.pos,anc.value.fru.pos,flux.lact.0,flux.ace.0,flux.glu.pos,flux.fru.pos,flux.data.col,metabolite,flux.anc.data.col
109,309,9,P1,Delta,G 40 mM + F 40 mM,GF,P,lacY,-9.28810144,-0.15158408,9.49810488,15.49931742,1132,1.132,207590272.7,0.3517,-1.57E-08,-2.57E-10,1.61E-08,2.63E-08,-15.73592651,-0.256814157,16.09171491,26.25898538,-13.74048084,-0.224247997,14.05115232,22.92912878,-13.74048084,-0.224247997,1.94116721,7.586838183,6.887545453,1.548125703,14.05115232,22.92912878,13.74048084,0.224247997,13.74048084,G,6.887545453
110,310,10,P2,Delta,G 40 mM + F 40 mM,GF,P,lacY,-17.52370809,0.87556381,13.33825944,25.78925599,1398,1.398,235077298.8,0.2387,-1.78E-08,8.89E-10,1.35E-08,2.62E-08,-17.79376036,0.889056844,13.5438111,26.18668598,-14.09804129,0.704401984,10.73079575,20.74777746,-14.09804129,0,1.94116721,7.586838183,6.887545453,1.548125703,10.73079575,20.74777746,14.09804129,0,14.09804129,G,6.887545453
111,311,11,P3,Delta,G 40 mM + F 40 mM,GF,P,lacY,-10.74065472,0.23038972,4.17049776,16.57952708,886,0.886,257465924.9,0.147,-6.13E-09,1.32E-10,2.38E-09,9.47E-09,-6.132369729,0.131540859,2.381142946,9.466070052,-8.618008666,0.184858433,3.346293757,13.30296074,-8.618008666,0,1.94116721,7.586838183,6.887545453,1.548125703,3.346293757,13.30296074,8.618008666,0,8.618008666,G,6.887545453
112,312,12,P4,Delta,G 40 mM + F 40 mM,GF,P,lacY,-12.40023505,-1.24024708,10.17434352,24.22495503,1237,1.237,257465924.9,0.188,-9.05E-09,-9.06E-10,7.43E-09,1.77E-08,-9.05457369,-0.905620622,7.429241686,17.6889099,-8.9315376,-0.893314795,7.328291063,17.44854802,-8.9315376,-0.893314795,1.94116721,7.586838183,6.887545453,1.548125703,7.328291063,17.44854802,8.9315376,0.893314795,8.9315376,G,6.887545453
113,313,13,P5,Delta,G 40 mM + F 40 mM,GF,P,lacY,-6.3835763,0.2908124,5.08580952,16.55194011,996,0.996,204708568.4,0.2168,-6.76E-09,3.08E-10,5.39E-09,1.75E-08,-6.760632213,0.307989689,5.38621081,17.52960633,-6.666783195,0.303714271,5.311441087,17.28626573,-6.666783195,0,1.94116721,7.586838183,6.887545453,1.548125703,5.311441087,17.28626573,6.666783195,0,6.666783195,G,6.887545453
114,314,14,P6,Delta,G 40 mM + F 40 mM,GF,P,lacY,-10.02359774,0.69904219,6.64693656,17.33517008,1120,1.12,147739490.2,0.2448,-1.66E-08,1.16E-09,1.10E-08,2.87E-08,-16.60880732,1.158292396,11.01377883,28.72386814,-10.43816965,0.72795429,6.921851145,18.05214564,-10.43816965,0,1.94116721,7.586838183,6.887545453,1.548125703,6.921851145,18.05214564,10.43816965,0,10.43816965,G,6.887545453
115,315,15,P7,Delta,G 40 mM + F 40 mM,GF,P,lacY,-13.09170955,0.87899178,7.60606704,21.50032227,1221,1.221,144857785.8,0.2076,-1.88E-08,1.26E-09,1.09E-08,3.08E-08,-18.76211822,1.259709255,10.90048083,30.81275113,-10.55611108,0.70874891,6.132926205,17.33614616,-10.55611108,0,1.94116721,7.586838183,6.887545453,1.548125703,6.132926205,17.33614616,10.55611108,0,10.55611108,G,6.887545453
116,316,16,P8,Delta,G 40 mM + F 40 mM,GF,P,lacY,-8.59467503,-2.29707893,7.7812284,20.41579465,1221,1.221,114710725,0.2425,-1.82E-08,-4.86E-09,1.64E-08,4.32E-08,-18.16925745,-4.856055443,16.44962044,43.15926173,-8.095085576,-2.163554811,7.3289228,19.22906966,-8.095085576,-2.163554811,1.94116721,7.586838183,6.887545453,1.548125703,7.3289228,19.22906966,8.095085576,2.163554811,8.095085576,G,6.887545453
109,309,9,P1,Delta,G 40 mM + F 40 mM,GF,P,lacY,-9.28810144,-0.15158408,9.49810488,15.49931742,1132,1.132,207590272.7,0.3517,-1.57E-08,-2.57E-10,1.61E-08,2.63E-08,-15.73592651,-0.256814157,16.09171491,26.25898538,-13.74048084,-0.224247997,14.05115232,22.92912878,-13.74048084,-0.224247997,1.94116721,7.586838183,6.887545453,1.548125703,14.05115232,22.92912878,13.74048084,0.224247997,0.224247997,F,1.548125703
110,310,10,P2,Delta,G 40 mM + F 40 mM,GF,P,lacY,-17.52370809,0.87556381,13.33825944,25.78925599,1398,1.398,235077298.8,0.2387,-1.78E-08,8.89E-10,1.35E-08,2.62E-08,-17.79376036,0.889056844,13.5438111,26.18668598,-14.09804129,0.704401984,10.73079575,20.74777746,-14.09804129,0,1.94116721,7.586838183,6.887545453,1.548125703,10.73079575,20.74777746,14.09804129,0,0,F,1.548125703
111,311,11,P3,Delta,G 40 mM + F 40 mM,GF,P,lacY,-10.74065472,0.23038972,4.17049776,16.57952708,886,0.886,257465924.9,0.147,-6.13E-09,1.32E-10,2.38E-09,9.47E-09,-6.132369729,0.131540859,2.381142946,9.466070052,-8.618008666,0.184858433,3.346293757,13.30296074,-8.618008666,0,1.94116721,7.586838183,6.887545453,1.548125703,3.346293757,13.30296074,8.618008666,0,0,F,1.548125703
112,312,12,P4,Delta,G 40 mM + F 40 mM,GF,P,lacY,-12.40023505,-1.24024708,10.17434352,24.22495503,1237,1.237,257465924.9,0.188,-9.05E-09,-9.06E-10,7.43E-09,1.77E-08,-9.05457369,-0.905620622,7.429241686,17.6889099,-8.9315376,-0.893314795,7.328291063,17.44854802,-8.9315376,-0.893314795,1.94116721,7.586838183,6.887545453,1.548125703,7.328291063,17.44854802,8.9315376,0.893314795,0.893314795,F,1.548125703
113,313,13,P5,Delta,G 40 mM + F 40 mM,GF,P,lacY,-6.3835763,0.2908124,5.08580952,16.55194011,996,0.996,204708568.4,0.2168,-6.76E-09,3.08E-10,5.39E-09,1.75E-08,-6.760632213,0.307989689,5.38621081,17.52960633,-6.666783195,0.303714271,5.311441087,17.28626573,-6.666783195,0,1.94116721,7.586838183,6.887545453,1.548125703,5.311441087,17.28626573,6.666783195,0,0,F,1.548125703
114,314,14,P6,Delta,G 40 mM + F 40 mM,GF,P,lacY,-10.02359774,0.69904219,6.64693656,17.33517008,1120,1.12,147739490.2,0.2448,-1.66E-08,1.16E-09,1.10E-08,2.87E-08,-16.60880732,1.158292396,11.01377883,28.72386814,-10.43816965,0.72795429,6.921851145,18.05214564,-10.43816965,0,1.94116721,7.586838183,6.887545453,1.548125703,6.921851145,18.05214564,10.43816965,0,0,F,1.548125703
115,315,15,P7,Delta,G 40 mM + F 40 mM,GF,P,lacY,-13.09170955,0.87899178,7.60606704,21.50032227,1221,1.221,144857785.8,0.2076,-1.88E-08,1.26E-09,1.09E-08,3.08E-08,-18.76211822,1.259709255,10.90048083,30.81275113,-10.55611108,0.70874891,6.132926205,17.33614616,-10.55611108,0,1.94116721,7.586838183,6.887545453,1.548125703,6.132926205,17.33614616,10.55611108,0,0,F,1.548125703
116,316,16,P8,Delta,G 40 mM + F 40 mM,GF,P,lacY,-8.59467503,-2.29707893,7.7812284,20.41579465,1221,1.221,114710725,0.2425,-1.82E-08,-4.86E-09,1.64E-08,4.32E-08,-18.16925745,-4.856055443,16.44962044,43.15926173,-8.095085576,-2.163554811,7.3289228,19.22906966,-8.095085576,-2.163554811,1.94116721,7.586838183,6.887545453,1.548125703,7.3289228,19.22906966,8.095085576,2.163554811,2.163554811,F,1.548125703
